LAT,LON,Total_Rn2200100_Sum
-31.55,-36.25,1.7231808e-08
-31.55,-36.15,3.4463616e-08
-31.55,-36.0,1.8798336e-08
-31.55,-35.95,1.7231808e-08
-31.55,-35.9,1.8798336e-08
-31.55,-35.8,1.8798336e-08
-31.55,-35.75,5.7961536e-08
-31.55,-35.7,1.8798336e-08
-31.55,-35.6,1.8798336e-08
-31.55,-35.55,3.9163199999999996e-08
-31.55,-35.5,1.8798336e-08
-31.5,-45.6,5.3261952e-08
-31.5,-45.55,5.3261952e-08
-31.5,-45.5,7.5193344e-08
-31.5,-45.45,3.9163199999999996e-08
-31.5,-45.4,1.8798336e-08
-31.5,-36.65,1.7231808e-08
-31.5,-36.6,3.4463616e-08
-31.5,-36.55,1.7231808e-08
-31.5,-36.5,3.4463616e-08
-31.5,-36.4,3.4463616e-08
-31.5,-36.35,1.7231808e-08
-31.5,-36.3,1.7231808e-08
-31.5,-36.25,5.3261952e-08
-31.5,-36.2,3.4463616e-08
-31.5,-36.15,5.4828479999999994e-08
-31.5,-36.0,1.8798336e-08
-31.5,-35.95,1.7231808e-08
-31.5,-35.9,1.8798336e-08
-31.5,-35.8,1.8798336e-08
-31.5,-35.65,1.8798336e-08
-31.5,-35.6,3.9163199999999996e-08
-31.5,-35.5,1.8798336e-08
-31.45,-45.75,1.7231808e-08
-31.45,-45.65,3.4463616e-08
-31.45,-45.6,8.615904e-08
-31.45,-45.55,8.7725568e-08
-31.45,-45.5,1.0965696000000001e-07
-31.45,-45.45,1.8798336e-08
-31.45,-36.7,1.7231808e-08
-31.45,-36.65,1.7231808e-08
-31.45,-36.6,1.7231808e-08
-31.45,-36.55,1.7231808e-08
-31.45,-36.45,1.7231808e-08
-31.45,-36.25,3.4463616e-08
-31.45,-36.2,1.7231808e-08
-31.45,-36.15,3.4463616e-08
-31.45,-36.05,7.832639999999999e-08
-31.45,-36.0,5.4828479999999994e-08
-31.45,-35.95,1.8798336e-08
-31.45,-35.9,1.8798336e-08
-31.45,-35.85,1.8798336e-08
-31.45,-35.8,1.8798336e-08
-31.45,-35.7,1.8798336e-08
-31.45,-35.65,5.7961536e-08
-31.45,-35.05,2.3497919999999997e-08
-31.4,-46.95,2.3497919999999997e-08
-31.4,-45.75,1.7231808e-08
-31.4,-45.7,1.7231808e-08
-31.4,-45.65,6.8927232e-08
-31.4,-45.6,1.23755712e-07
-31.4,-45.55,1.06523904e-07
-31.4,-45.5,5.7961536e-08
-31.4,-45.45,5.6395008000000006e-08
-31.4,-36.8,1.7231808e-08
-31.4,-36.75,1.7231808e-08
-31.4,-36.65,1.7231808e-08
-31.4,-36.6,1.7231808e-08
-31.4,-36.55,1.7231808e-08
-31.4,-36.45,5.3261952e-08
-31.4,-36.4,3.4463616e-08
-31.4,-36.3,3.9163199999999996e-08
-31.4,-36.25,3.7596672e-08
-31.4,-36.1,1.8798336e-08
-31.4,-36.0,1.8798336e-08
-31.4,-35.95,3.9163199999999996e-08
-31.4,-35.9,3.9163199999999996e-08
-31.4,-35.85,1.8798336e-08
-31.4,-35.75,3.9163199999999996e-08
-31.4,-35.7,1.8798336e-08
-31.4,-35.65,3.9163199999999996e-08
-31.4,-35.45,1.8798336e-08
-31.4,-35.1,2.3497919999999997e-08
-31.35,-45.75,1.7231808e-08
-31.35,-45.7,9.2425152e-08
-31.35,-45.65,1.0339084800000001e-07
-31.35,-45.6,1.45687104e-07
-31.35,-45.55,7.5193344e-08
-31.35,-45.5,1.8798336e-08
-31.35,-45.45,1.8798336e-08
-31.35,-36.8,1.7231808e-08
-31.35,-36.75,3.603014399999999e-08
-31.35,-36.7,1.7231808e-08
-31.35,-36.65,1.7231808e-08
-31.35,-36.6,3.4463616e-08
-31.35,-36.55,1.7231808e-08
-31.35,-36.5,1.7231808e-08
-31.35,-36.45,3.4463616e-08
-31.35,-36.4,1.7231808e-08
-31.35,-36.35,3.4463616e-08
-31.35,-36.3,1.7231808e-08
-31.35,-36.2,1.7231808e-08
-31.35,-36.15,1.7231808e-08
-31.35,-36.0,5.7961536e-08
-31.35,-35.95,1.8798336e-08
-31.35,-35.9,5.7961536e-08
-31.35,-35.85,3.9163199999999996e-08
-31.35,-35.8,3.9163199999999996e-08
-31.35,-35.7,3.9163199999999996e-08
-31.35,-35.45,1.8798336e-08
-31.35,-35.15,2.3497919999999997e-08
-31.3,-47.0,2.3497919999999997e-08
-31.3,-46.95,4.5429311999999996e-08
-31.3,-46.9,2.3497919999999997e-08
-31.3,-45.7,8.615904e-08
-31.3,-45.65,1.45687104e-07
-31.3,-45.6,2.0364863999999996e-07
-31.3,-45.55,5.3261952e-08
-31.3,-45.5,1.8798336e-08
-31.3,-36.95,3.603014399999999e-08
-31.3,-36.85,1.7231808e-08
-31.3,-36.8,1.7231808e-08
-31.3,-36.7,1.7231808e-08
-31.3,-36.65,1.7231808e-08
-31.3,-36.55,7.049376e-08
-31.3,-36.5,5.3261952e-08
-31.3,-36.45,5.3261952e-08
-31.3,-36.4,3.9163199999999996e-08
-31.3,-36.35,1.7231808e-08
-31.3,-36.3,1.8798336e-08
-31.3,-36.2,1.8798336e-08
-31.3,-36.1,3.9163199999999996e-08
-31.3,-36.05,5.7961536e-08
-31.3,-35.95,5.7961536e-08
-31.3,-35.9,3.9163199999999996e-08
-31.3,-35.8,1.8798336e-08
-31.3,-35.65,1.8798336e-08
-31.3,-35.6,3.9163199999999996e-08
-31.3,-35.5,1.8798336e-08
-31.25,-47.0,4.5429311999999996e-08
-31.25,-46.95,2.3497919999999997e-08
-31.25,-46.9,4.8562368e-08
-31.25,-45.75,1.7231808e-08
-31.25,-45.7,1.0809043199999999e-07
-31.25,-45.65,1.8798335999999998e-07
