LAT,LON,Total_Rn2200100_Sum
31.7,-105.15,2.1841838179199997e-08
31.7,-105.1,2.29619324448e-08
31.7,-105.05,1.6801413984e-08
31.7,-105.0,2.71622859408e-08
31.7,-104.95,5.3204477616e-09
31.75,-105.75,1.2601060487999999e-08
31.75,-105.7,2.60421916752e-08
31.75,-105.65,2.3802003143999996e-08
31.75,-105.6,3.3602827968e-08
31.75,-105.55,2.3802003143999996e-08
31.75,-105.5,3.3602827968e-08
31.75,-105.45,5.8804948943999995e-08
31.75,-105.4,4.4803770624e-08
31.75,-105.35,9.520801257600001e-08
31.75,-105.3,7.00058916e-08
31.75,-105.25,2.8002356640000002e-08
31.75,-105.2,3.3602827968e-08
31.75,-105.15,2.29619324448e-08
31.75,-105.1,5.3204477616e-09
31.75,-105.05,5.6004713280000004e-08
31.75,-104.95,1.03608719568e-08
31.8,-105.85,6.160518460800001e-09
31.8,-105.75,1.03608719568e-08
31.8,-105.7,2.100176748e-08
31.8,-105.65,1.84815553824e-08
31.8,-105.6,5.6004713280000004e-08
31.8,-105.55,2.49220974096e-08
31.8,-105.5,2.1841838179199997e-08
31.8,-105.45,5.6004713280000004e-08
31.8,-105.4,7.280612726400001e-08
31.8,-105.35,7.280612726400001e-08
31.8,-105.3,7.8406598592e-08
31.8,-105.25,2.71622859408e-08
31.8,-105.2,2.29619324448e-08
31.8,-105.15,1.14809662224e-08
31.8,-105.1,3.3602827968e-08
31.8,-105.05,5.3204477616e-08
31.8,-105.0,1.03608719568e-08
31.85,-105.85,1.87615789488e-08
31.85,-105.75,2.60421916752e-08
31.85,-105.7,2.29619324448e-08
31.85,-105.65,1.7641484683199998e-08
31.85,-105.6,6.7205655936e-08
31.85,-105.55,2.8002356640000002e-08
31.85,-105.5,2.29619324448e-08
31.85,-105.45,7.8406598592e-08
31.85,-105.4,8.1206834256e-08
31.85,-105.35,9.520801257600001e-08
31.85,-105.3,7.00058916e-08
31.85,-105.2,1.06408955232e-08
31.85,-105.15,2.6322215241600003e-08
31.85,-105.1,5.3204477616e-08
31.85,-105.05,1.56813197184e-08
31.85,-105.0,5.3204477616e-09
31.9,-105.85,1.87615789488e-08
31.9,-105.8,1.2321036921600002e-08
31.9,-105.75,1.03608719568e-08
31.9,-105.7,2.29619324448e-08
31.9,-105.65,3.3602827968e-08
31.9,-105.6,6.7205655936e-08
31.9,-105.55,2.1841838179199997e-08
31.9,-105.5,2.8002356640000002e-08
31.9,-105.45,3.6403063632000004e-08
31.9,-105.4,1.28810840544e-07
31.9,-105.35,1.0920919089600001e-07
31.9,-105.3,4.200353496e-08
31.9,-105.25,2.60421916752e-08
31.9,-105.15,3.6403063632000004e-08
31.9,-105.1,3.9203299296e-08
31.9,-105.05,5.3204477616e-09
31.95,-105.9,5.3204477616e-09
31.95,-105.85,1.03608719568e-08
31.95,-105.8,2.29619324448e-08
31.95,-105.75,3.0802592304e-08
31.95,-105.7,2.74423095072e-08
31.95,-105.65,3.9203299296e-08
31.95,-105.6,8.1206834256e-08
31.95,-105.55,5.3204477616e-08
31.95,-105.5,3.3602827968e-08
31.95,-105.45,5.8804948943999995e-08
31.95,-105.4,1.59613432848e-07
31.95,-105.35,8.400706992e-08
31.95,-105.3,2.6322215241600003e-08
31.95,-105.25,2.100176748e-08
31.95,-105.2,5.3204477616e-09
31.95,-105.15,3.6403063632000004e-08
31.95,-105.1,4.200353496e-08
