YEAR  MO  DA  HR    LAT     LON Rn2200100
2011   7  18   0  23.10   86.25  0.11E-10
2011   7  18   0  23.15   86.25  0.10E-10
2011   7  18   0  23.20   86.25  0.11E-10
2011   7  18   0  23.25   86.25  0.12E-10
2011   7  18   0  23.30   86.25  0.54E-11
2011   7  18   0  23.35   86.25  0.33E-11
2011   7  18   0  23.40   86.25  0.25E-12
2011   7  18   0  22.70   86.30  0.70E-10
2011   7  18   0  22.75   86.30  0.11E-09
2011   7  18   0  22.80   86.30  0.66E-10
2011   7  18   0  22.85   86.30  0.48E-10
2011   7  18   0  22.90   86.30  0.36E-10
2011   7  18   0  22.95   86.30  0.28E-10
2011   7  18   0  23.00   86.30  0.23E-10
2011   7  18   0  23.05   86.30  0.14E-10
2011   7  18   0  23.10   86.30  0.11E-10
2011   7  18   0  23.15   86.30  0.13E-10
2011   7  18   0  23.20   86.30  0.23E-10
2011   7  18   0  23.25   86.30  0.12E-10
2011   7  18   0  23.30   86.30  0.56E-11
2011   7  18   0  23.35   86.30  0.32E-11
2011   7  18   0  23.40   86.30  0.12E-12
2011   7  18   0  22.65   86.35  0.27E-10
2011   7  18   0  22.70   86.35  0.37E-09
2011   7  18   0  22.75   86.35  0.22E-09
2011   7  18   0  22.80   86.35  0.88E-10
2011   7  18   0  22.85   86.35  0.50E-10
2011   7  18   0  22.90   86.35  0.40E-10
2011   7  18   0  22.95   86.35  0.37E-10
2011   7  18   0  23.00   86.35  0.33E-10
2011   7  18   0  23.05   86.35  0.33E-10
2011   7  18   0  23.10   86.35  0.34E-10
2011   7  18   0  23.15   86.35  0.42E-10
2011   7  18   0  23.20   86.35  0.35E-10
2011   7  18   0  23.25   86.35  0.13E-10
2011   7  18   0  23.30   86.35  0.79E-11
2011   7  18   0  23.35   86.35  0.36E-11
2011   7  18   0  23.40   86.35  0.37E-12
2011   7  18   0  22.75   86.40  0.10E-09
2011   7  18   0  22.80   86.40  0.16E-09
2011   7  18   0  22.85   86.40  0.14E-09
2011   7  18   0  22.90   86.40  0.80E-10
2011   7  18   0  22.95   86.40  0.54E-10
2011   7  18   0  23.00   86.40  0.49E-10
2011   7  18   0  23.05   86.40  0.54E-10
2011   7  18   0  23.10   86.40  0.65E-10
2011   7  18   0  23.15   86.40  0.55E-10
2011   7  18   0  23.20   86.40  0.37E-10
2011   7  18   0  23.25   86.40  0.23E-10
2011   7  18   0  23.30   86.40  0.10E-10
2011   7  18   0  23.35   86.40  0.26E-11
2011   7  18   0  23.40   86.40  0.12E-12
2011   7  18   0  22.85   86.45  0.32E-10
2011   7  18   0  22.90   86.45  0.89E-10
2011   7  18   0  22.95   86.45  0.11E-09
2011   7  18   0  23.00   86.45  0.98E-10
2011   7  18   0  23.05   86.45  0.85E-10
2011   7  18   0  23.10   86.45  0.55E-10
2011   7  18   0  23.15   86.45  0.37E-10
2011   7  18   0  23.20   86.45  0.27E-10
2011   7  18   0  23.25   86.45  0.14E-10
2011   7  18   0  23.30   86.45  0.57E-11
2011   7  18   0  23.35   86.45  0.87E-12
2011   7  18   0  22.95   86.50  0.89E-12
2011   7  18   0  23.00   86.50  0.85E-11
2011   7  18   0  23.05   86.50  0.15E-10
2011   7  18   0  23.10   86.50  0.15E-10
2011   7  18   0  23.15   86.50  0.10E-10
2011   7  18   0  23.20   86.50  0.48E-11
2011   7  18   0  23.25   86.50  0.19E-11
2011   7  18   0  23.30   86.50  0.25E-12
